Konu,Soru,Cevap
Check-in,Bagajımın yanımda olmadığı durumda uçağa binemez miyim?,"Maalesef, uçağa binmek için bagajınızın da uçağa yüklenmiş olması gerekmektedir. Bagajınızın işlemleri tamamlanmadan uçağa kabul edilemezsiniz."
Check-in,"Uçuşum gecikirse bağlantı uçuşumu kaçırma endişesi taşıyorum, ne yapmalıyım?","Uçuşunuz gecikirse, bağlantı uçuşları için gereken zamanı hesaba katarak size en uygun alternatifleri sunarız. Havalimanındaki görevlilerimize başvurarak yardım alabilirsiniz."
Check-in,Yanımda kabin içine alabileceğim evcil hayvanımı getirebilir miyim?,"Evet, kabin içine küçük boyutlu evcil hayvanınızı getirebilirsiniz. Ancak önceden bildirmeniz ve gerekli düzenlemeleri yapmanız gerekebilir. Detaylar için müşteri hizmetlerimize başvurabilirsiniz."
Check-in,Uçuşum kötü hava koşulları nedeniyle iptal edilirse ne gibi haklarım var?,"Uçuş iptali durumunda, size alternatif bir uçuş veya iade seçenekleri sunarız. Haklarınızı ve seçenekleri öğrenmek için müşteri hizmetlerimizi arayabilirsiniz."
Ücret koşulları,"Biletim için iptal, iade, değişiklik ve indirim haklarım bulunuyor mu?","Biletinize ait ücret koşullarını inceleyerek biletinizin size sunduğu hakları öğrenebilirsiniz. Biletinizin iptal/iade, değişiklik ve indirim koşullarıyla ilgili detaylı bilgilere ücret koşulları sayfamızdan ulaşabilirsiniz."
Ücret koşulları,Uluslararası uçuşlarda Lounge İstanbul'a misafirimle birlikte giriş yapabilir miyim?,"Elite ve Elite Plus yolcularımız bir misafirleri veya aile bireyleri (eş ve çocuklar), Star Alliance Gold Card sahibi yolcularımız ise bir misafirleriyle birlikte Lounge İstanbul’a giriş yapabilir."
Ücret koşulları,Türk Hava Yolları ile seyahat ederken Lounge İstanbul'a ücretsiz giriş yapabilir miyim?,"Lounge İstanbul'a Miles&Smiles Elite, Elite Plus ve Star Alliance Gold üyesi yolcularımız giriş yapabilir. Ayrıca Business Class'ta seyahat eden tüm yolcularımız Lounge İstanbul'a ücretsiz giriş yapabilir."
Ücret koşulları,Biletimi online satın aldığımda öğrenci indiriminden faydalanabilir miyim?,"İnternet sitemizi ve mobil uygulamızı kullanarak öğrenci indiriminden yararlanabilirsiniz. Bu indirimden yararlanmak için, Miles&Smiles üyesi olmanız ve hesabınız için öğrenci tanımlaması yapmanız yeterlidir. Bulunduğunuz ülke ve uçacağınız parkura göre izlemeniz gereken adımlar ve kazanacağınız avantajlara ilişkin detaylı bilgileri burada bulabilirsiniz. Miles&Smiles hesabınız öğrenci olarak tanımlanınca, Miles&Smiles hesabınıza giriş yapıp; bilet alımı sırasında “öğrenci” yolcu tipini seçerek öğrenci avantajlarıyla biletinizi alabilirsiniz."
Ücret koşulları,Uçuşlarda bebeklere uygulanan indirim hakkında bilgi alabilir miyim?,Seyahatin başladığı gün itibarıyla 2 yaş gününü kutlamamış olan bebekler tüm iç hat uçuşlarda her sınıf için farklı ücretlerle koltuk verilmeden yolculuk yaparlar.
Ücret koşulları,Çocuğum uçuşlarda indirimli seyahat edebilir mi?,"İç hat uçuşlarımızda 2. yaşını kutlamış fakat henüz 12. yaşını kutlamamış olan çocuk yolcularımıza ücret sınıfına bağlı olarak %10 oranında çocuk indirimi yapılır. Bilet düzenlenme esnasında çocuğun yaşını, nüfus cüzdanı veya başka bir resmi belgeyle belgelemeniz gerekiyor"
Ücret koşulları,Gençlik indiriminden nasıl faydalanabilirim?,İç hat uçuşlarımızda gençlik indirimi uygulanmıyor. Dış hat uçuşlarımızda ise kimi güzergahlarda gençlik indirimi uygulanan ücretler bulunuyor.
Ücret koşulları,Uçuş değişikliği yaparsam ek ücret ödemem gerekiyor mu?,Uçuş değişikliği durumunda ek ücretler uçuşunuzun türüne ve değişiklik politikalarımıza göre değişebilir. Değişiklik yapmadan önce müşteri hizmetlerimizi arayarak detayları öğrenmenizi öneririm.
Ücret koşulları,Bagajımın ağırlık limitini aşarsam ne kadar ek ücret ödemem gerekiyor?,Bagaj ağırlık limiti aşılması durumunda ek ücretler uygulanabilir. Ağırlık sınırını aşmadan önce bagajınızı kontrol etmeniz ve gerekirse ek bagaj hakkı satın almanız önerilir. Ücret bilgisi için müşteri hizmetlerimize danışabilirsiniz.
Ücret koşulları,İnternet üzerinden bilet alırken ekstra ücretler nelerdir?,"İnternet üzerinden bilet alırken özel hizmetler (örneğin koltuk seçimi, öncelikli biniş gibi) için ek ücretler uygulanabilir. İşlem sırasında size bu ekstra ücretleri göstereceğiz ve onayınızı alacağız."
Ücret koşulları,Bagaj hakkımı aşarsam ne kadar ek ücret ödemem gerekiyor?,Bagaj ağırlık limitinizi aşmanız durumunda ek ücretler uygulanabilir. Ücret miktarı bagaj fazlalığına ve uçuşunuzun detaylarına göre değişebilir. Havalimanında görevli personel size bu konuda yardımcı olacaktır.
Ücret koşulları,Check-in işlemi için herhangi bir ücret ödemem gerekiyor mu?,Standart check-in işlemi genellikle ücretsizdir. Ancak bazı özel durumlar veya özel koltuk seçimi gibi istekler için ek ücretler uygulanabilir. Online check-in veya havalimanında check-in işlemleri hakkında daha fazla bilgi almak için müşteri hizmetlerimize danışabilirsiniz.
Ücret koşulları,İnternetten bilet aldığımda ödeme seçenekleri nelerdir?,İnternet üzerinden bilet alırken genellikle kredi kartı veya banka kartı gibi çeşitli ödeme seçenekleri sunulmaktadır. Ödeme yöntemleri hakkında daha fazla bilgiyi rezervasyon aşamasında görüntüleyebilirsiniz.
Ücret koşulları,Biletimi aldıktan sonra tarih değişikliği yaparsam ek ücret ödemem gerekiyor mu?,Biletinizin tarih değişikliği koşullarını inceleyerek ek ücret durumunu öğrenebilirsiniz. Değişiklik ücretleri uçuş türüne ve değişiklik politikalarına göre değişebilir. Detaylı bilgileri biletinizin rezervasyon aşamasında bulabilirsiniz.
Ücret koşulları,"Promosyonlu bir bilet aldım, bu bilette değişiklik yapabilir miyim?",Promosyonlu biletlerin değişiklik koşulları genellikle daha sınırlı olabilir. Değişiklik yapma durumunda ek ücretler veya farklar uygulanabilir. Biletinize özgü değişiklik hakları ve ücretleri hakkında bilgi almak için müşteri hizmetlerimizi arayabilirsiniz.
Ücret koşulları,"Biletimi iptal etmem gerekti, iade alabilir miyim?","Bilet iade koşulları bilet türüne, satın alma şartlarına ve iade politikalarına göre değişir. İade seçeneği hakkında bilgi almak için müşteri hizmetlerimizi arayarak veya rezervasyon yönetim sayfasından detayları kontrol edebilirsiniz."
Uçuş iptali ve değişikliği,OHAL duyurusundan nasıl haberdar olabilirim?,Olağanüstü hal duyuruları web sitemiz üzerinden yapılmaktadır.
Uçuş iptali ve değişikliği,Rötar durumunda hangi kanallardan işlem yapabilirim?,Rötar durumunda çağrı merkezi ve satış ofislerimizden işlemlerinizi gerçekleştirebilirsiniz.
Uçuş iptali ve değişikliği,Tarife değişikliğinden nasıl haberdar olabilirim?,"Türk Hava Yolları, siz değerli yolcularımıza tarife değişikliği gerçekleşmesi halinde SMS ve e-posta gönderimi sağlamaktadır."
Uçuş iptali ve değişikliği,Uçuşumun iptal olduğundan nasıl haberdar olabilirim?,"Türk Hava Yolları, siz değerli yolcularımıza uçuş iptali gerçekleşmesi halinde SMS ve e-posta gönderimi sağlamaktadır. Ayrıca web sitemiz ve mobil uygulamamız üzerinden uçuş durumunuzu kontrol edebilirsiniz."
Uçuş iptali ve değişikliği,Rötar durumunda hangi haklara sahibim?,Rötar durumlarında sahip olduğunuz hakları öğrenmek için Yolcu Hakları sayfasına göz gezdirebilirsiniz.
Uçuş iptali ve değişikliği,Rötar (tehir) nedir?,"Rötar, uçakların planlanan kalkış ve iniş saatinden geç havalanması veya iniş yapmasıdır."
Uçuş iptali ve değişikliği,Tarife değişikliği nedir?,"Uçuş bilgisinde (tarih, saat ve uçuş numarası) operasyonel sebeplerle gerçekleşebilecek olan herhangi bir değişikliğe tarife değişikliği denir."
Uçuş iptali ve değişikliği,Uçuş iptali neden gerçekleşir?,"Beklenmeyen nedenlerden (meteorolojik şartlar, salgın hastalıklar, doğal afetler, teknik arıza veya operasyonel aksaklıklar…) kaynaklı uçuşun icra edilemeyeceği durumlarda gerçekleşebilir."
Uçuş iptali ve değişikliği,"Tarife değişikliği durumunda onay, değişiklik veya iptal işlemimi hangi kanallar üzerinden gerçekleştirebilirim?","Türk Hava Yolları’na bağlı satış ofisleri, web sayfamız, mobil uygulamamız, kiosk ve çağrı merkezimizden işlem gerçekleştirebilirsiniz."
Uçuş iptali ve değişikliği,"Uçuşumun iptal edildiğini öğrendim, ne gibi adımlar atmam gerekiyor?",Uçuş iptali durumunda öncelikle müşteri hizmetlerimizi arayarak durumu bildirmeniz önemlidir. Size alternatif uçuş veya iade seçenekleri hakkında yardımcı olacağız.
Uçuş iptali ve değişikliği,Uçuşum hava koşulları nedeniyle iptal edilirse tazminat alma hakkım var mı?,Uçuş iptali durumunda tazminat hakları farklılık gösterebilir. Uçuş detaylarınızı inceleyerek size en güncel bilgiyi sağlamamız için müşteri hizmetlerimizi arayabilirsiniz.
Uçuş iptali ve değişikliği,Uçuşum iptal edilirse bilet ücretim iade edilir mi?,Uçuş iptali durumunda iade seçeneği bulunabilir. İade politikalarımız ve süreç hakkında bilgi almak için müşteri hizmetlerimizi arayarak detayları öğrenebilirsiniz.
Uçuş iptali ve değişikliği,Uçuşum iptal edilirse ne yapmalıyım?,Uçuşun iptal edildiğinde en kısa sürede müşteri hizmetlerimizi arayarak durumu bildirmeniz önemlidir. Size alternatif uçuşlar veya iade seçenekleri hakkında bilgi vereceğiz.
Uçuş iptali ve değişikliği,Uçuşum iptal edildiğinde başka bir uçuşa nasıl yönlendirileceğim?,"Uçuşun iptal edilmesi durumunda, müşteri hizmetlerimiz sizin için uygun bir alternatif uçuşu veya tarihini belirlemek üzere size yardımcı olacaktır."
Uçuş iptali ve değişikliği,Uçuşum hava koşulları nedeniyle iptal edilirse tazminat alabilir miyim?,Uçuş iptali nedeniyle tazminat hakkınız uçuşun türüne ve yerel yasalara göre değişebilir. Tazminat hakkınızı öğrenmek için müşteri hizmetlerimizi arayarak detayları öğrenebilirsiniz.
Bagaj,Bebek yolcuların ücretsiz bagaj hakkı ne kadardır?,"Bebek yolcularımızın her uçuşta 10 kg, parça bagaj uygulaması kapsamındaki uçuşlarda 23 kg bir parça bagaj hakkı vardır. Ayrıca tüm uçuşlarda boyutları 115 cm’yi geçmeyen bir puset taşıyabilirler. Çocuk yolcularımızın bagaj hakkı yetişkin yolcularımızla aynıdır. "
Bagaj,Kilo sınırını aşan bagajımı nasıl gönderebilirim?,Hava kargo taşımacılığı ile ilgili şartları tüm detaylarıyla öğrenmek için turkishcargo.com web sitesini ziyaret edebilirsiniz.
Bagaj,Bagaja alınmayan eşyalarımı nasıl taşıyabilirim?,Yanınıza almak istediğiniz ancak bagaj alanında taşınması mümkün olmayan eşyalarınızla ilgili detaylı bilgiye turkishcargo.com web sitesinden ulaşabilirsiniz.
Bagaj,Anlaşmalı firmalarla yapacağım ortak uçuşlarda bagaj limitim değişir mi?,"Bagaj kuralları, uçuşunuzu gerçekleştirdiğiniz anlaşmalı havayolu firmasına göre değişiklik gösterebilir. Daha fazla bilgi için codeshare (ortak) uçuş sayfamızı ziyaret edebilirsiniz."
Bagaj,Aktarma yaptığım sırada bagajımı alabilmem mümkün mü?,Ne yazık ki aktarma sırasında bagajınıza ulaşabilmeniz mümkün değil. Detaylı bilgi için bagaj ya da transfer ve transit yolcu sayfamızı ziyaret edebilirsiniz.
Bagaj,Çocukların bagaj hakkı yetişkinlerle aynı mı?,2-12 yaş aralığındaki çocuk yolcularımızın bagaj hakları yetişkin yolcularımızla aynıdır. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.
Bagaj,Bagajımı sigortalayabiliyor musunuz?,Uçuşlarımızda bagajınız sigortalanmasa da kargo bölümüne kabul edilen tüm bagajların sorumluluğumuz altında olduğundan emin olabilirsiniz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.
Bagaj,Havalimanında bagaj taşıma yardımı servisiniz var mı?,Türk Hava Yolları olarak böyle bir hizmet sunamıyoruz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.
Bagaj,Birden fazla havayolu firmasıyla uçtuğumda bagaj hakkımı nasıl öğrenebilirim?,"Birden fazla havayolu firmasıyla seyahatinizi gerçekleştirdiğinizde en önemli taşıyıcının (MSC) bagaj kuralları geçerlidir. En önemli taşıyıcı (MSC), seyahatteki en önemli ve/veya en uzun bacağı uçan havayolu firmasına göre IATA (Uluslararası Hava Taşımacılığı Birliği) kuralları gereğince belirlenir. Bagaj koşulları her uçuşa göre farklılık gösterdiği için en doğru detaylara, rezervasyon bilgilerinizden ve bilet üzerindeki bagaj bilgilerinden ulaşabilirsiniz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz."
Bagaj,Uçuşum iptal olduğunda satın aldığım ekstra bagaj hakkına ne oluyor?,Uçuşunuz iptal olduysa ve başka bir seferle varış yerine ulaştırılamadıysanız satın aldığınız ekstra bagaj hakkının iadesini alabilirsiniz. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.
Bagaj,En önemli taşıyıcı (MSC) nedir?,"Birden fazla havayolu firmasının gerçekleştirdiği seyahatlerde en önemli ya da en uzun bacağı uçan havayolu firması en önemli taşıycı (MSC) olarak kabul edilir. En önemli taşıyıcı, IATA (Uluslararası Hava Taşımacılığı Birliği) kuralları gereğince belirlenir. Bu seyahatlerde en önemli taşıyıcının bagaj kuralları geçerlidir."
Bagaj,Bagajımda maddi değeri yüksek eşyalar olduğunda ne yapmalıyım?,"Uçağın kargo kompartımanına vereceğiniz bagajınızın içeriğini hazırlarken içerisinde kırılabilir ve bozulabilir maddeler, elektronik cihazlar, para, mücevher, değerli maden, gümüş eşya, senet ve diğer ticari değerli kağıtlar, pasaport ve diğer kimlik belgelerinin veya örneklerinin bulunmamasına özen göstermelisiniz. Bu tarz eşyaları üzerinizde veya kabin bagajınızda paketlenmiş olarak taşıyabilirsiniz. Kabin bagajında yer kalmadığı durumlarda, el bagajınız uçağın kargo kompartımanına alınabilir. Bu ihtimale karşı, yukarıda tarif edilen eşyalarınızı çantanızdan hızlıca alabileceğiniz şekilde muhafaza etmenizi tavsiye ederiz. Detaylı bilgi için Yolcu ve Bagaj Taşıma Genel Şartları sayfamızı ziyaret edebilirsiniz."
Bagaj,Bebek yolcuların bagaj hakkı ne kadardır?,Bebek yolcularımız 10 kg bagaj hakkıyla seyahat edebilir. Dış hat seferlerinde 10 kg bagaj hakkına bir adet katlanabilir puset eklenir. Detaylı bilgi için bagaj sayfamızı ziyaret edebilirsiniz.
Bagaj,Aktarma sırasında bagajımın diğer uçağa geçişiyle kim ilgilenecek?,Aktarma sırasında bagajınız taşıyıcı havayolu firmaları tarafından diğer uçağa geçirilir. Detaylı bilgi için bagaj ya da transfer ve transit yolcular sayfamızı ziyaret edebilirsiniz.
Bagaj,Bagajım kaybolduğunda ne yapmalıyım?,Bagajınızın kaybolduğunu fark ettiğinizde en yakın havalimanı yetkilisine başvurmanız gerekmektedir. Bagaj takip numarası ve kişisel bilgilerinizle durumu iletebilirsiniz. Mümkün olan en kısa sürede size yardımcı olacaklar.
Kabin bagajı,Kabin bagajımın en yüksek boyut ve ağırlığı ne kadar olmalı?,Bagaj boyutları ve ağırlığı hakkında kabin bagajı sayfamızdan bilgi alabilirsiniz.
Kabin bagajı,Kabin bagajı taşıma hakkım ne kadardır?,"Kabin bagajı, yolcunun kendi denetim ve sorumluluğu altında, yolcu kabininde ücretsiz olarak taşınan bagajdır. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz."
Kabin bagajı,Kabindeki bagajlar da sorumluluğunuz altında mı?,Kabine alınan bagajların sorumluluğu seyahat eden kişiye aittir. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz.
Kabin bagajı,Katlanabilir tekerlekli sandalyemi kabin bagajı olarak alabilir miyim?,Tekerlekli sandalyenizi seferinizi gerçekleştirdiğiniz uçak modeline bağlı olmak üzere kabin bagajı olarak alabileceğiniz gibi kabin içi tekerlekli sandalyeleri de kullanabilirsiniz. Bu uygulamaların bulunmadığı uçaklarımızda tekerlekli sandalyeler kargo bölümünde uçağın taşınmaktadır.
Kabin bagajı,Kabinde ruhsatlı silahımı taşıyabilir miyim?,"Yurt içi uçuşlarımızda silah taşımak ücretlidir. Silah taşıma ücretinden muaf olan yolcular ise; Rical listesinde yer alan VIP yolcular, bu yolcularla seyahat eden kadrolu korumalar, kamuya ait kimlik kartına tanımlı silah bilgisi olanlar, Kamu Görevlisi Taşıma Ruhsatı veya Emekli Kamu Görevlisi Taşıma Ruhsatı’na sahip olanlar, kimlik ibraz eden çalışan ya da emekli Emniyet ve TSK mensupları ile köy güvenlik korucularıdır."
Kabin bagajı,Kabin bagajımda ikinci bir laptop taşıyabilir miyim?,Aynı çanta içinde olmak koşuluyla ikinci bir laptop ya da tablet bilgisayarı kabin bagajınızda taşıyabilirsiniz. Koltuğun altına sığabilmesi için çantanızı aşırı doldurmamaya dikkat etmenizi öneririz. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz. 
Kabin bagajı,Bagajımda kırılabilir eşyalar taşıyabilir miyim?,"Uçağın kargo kompartımanına vereceğiniz bagajınızın içeriğini hazırlarken içerisinde kırılabilir ve bozulabilir maddeler, elektronik cihazlar, para, mücevher, değerli maden, gümüş eşya, senet ve diğer ticari değerli kağıtlar, pasaport ve diğer kimlik belgelerinin veya örneklerinin bulunmamasına özen göstermelisiniz. Bu tarz eşyaları üzerinizde veya kabin bagajınızda paketlenmiş olarak taşıyabilirsiniz. Uçağın yolcu kapasitesi dolmuşsa kabin bagajında yer olmayabilir. Böyle durumlarda el bagajınız uçağın kargo kompartımanına alınabilir. Bu ihtimale karşı, yukarıda tarif edilen eşyalarınızı çantanızdan hızlıca alabileceğiniz şekilde muhafaza etmenizi tavsiye ederiz. Detaylı bilgi için Yolcu ve Bagaj Taşıma Genel Şartları sayfamızı ziyaret edebilirsiniz."
Kabin bagajı,Kabin içine birden fazla çanta alabilir miyim?,"Economy Class uçuşlarınızda kabin içine boyutu en fazla 23x40x55 cm, ağırlığı en fazla 8 kg olan tek parça bagaj alabilirsiniz. Business Class'ta yolculuk yapıyorsanız her biri en fazla 23x40x55 cm boyutlarında ve 8 kg ağırlığında iki parça bagajı, kabin bagajı olarak taşıyabilirsiniz. Kabin bagajı taşıma hakkınızı aştığınız durumlarda ekstra bagaj ücreti talep edileceğini belirtelim. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz."
Kabin bagajı,Kabin bagajımda gelinliğimi taşıyabilir miyim?,"Gelinliğinizi Economy Class ve Business Class uçuşlarınızda kabin bagajı olarak yanınıza alabilirsiniz. Bagajınızın en, boy ve yüksekliğinin 118 cm'yi, toplam ağırlığının 8 kg'ı geçmemesi gerekiyor. Gelinliğinizi kabin bagajı olarak aldığınızda Economy Class uçuşlarınızda başka bir kabin bagajı alamayacağınızı hatırlatmak isteriz. Business Class uçuşlarınızda ise standartlara uygun gelinlik bagajınızla birlikte ikinci bir kabin bagajı daha alabilirsiniz. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz."
Kabin bagajı,Kabine alabileceğim bagajın en yüksek boyut ve ağırlığı nedir?,"Economy Class uçuşlarınızda kabine alabileceğiniz tek parça bagajın maksimum boyutu 23x40x55 cm, maksimum ağırlığı 8 kg'dır. Business Class uçuşlarınızda her biri maksimum 23x40x55 cm boyutlarında ve 8 kg ağırlığında iki parça bagajı, kabin bagajı olarak alabilirsiniz. Detaylı bilgi için kabin bagajı sayfamızı ziyaret edebilirsiniz."
Kabin bagajı,Kabin bagajımın boyutları ve ağırlığının beklenen standartlara uygun olmadığı durumlarda nasıl bir işlem yapılır?,"Kabin bagajınızın boyut ve ağırlık olarak uygun olmadığı durumlarda bagajınız, taşıma hakkınız dahilinde kargo kompartımanında taşınır. Bagaj hakkınızı kullandıysanız “fazla bagaj” tarifesine uygun olarak ekstra ücret ödemeniz gerekebilir. Bagajınızın kargo kompartımanına alınma ihtimaline karşı, içerisinde bulunan kırılabilir ve bozulabilir maddeleri, elektronik cihazları, para, mücevher, değerli madenleri, gümüş eşya, senet ve diğer ticari değerli kağıtları, pasaport ve diğer kimlik belgelerini veya örneklerini hızlıca alabileceğiniz şekilde muhafaza etmenizi tavsiye ederiz. Detaylı bilgi için Yolcu ve Bagaj Taşıma Genel Şartları sayfamızı ziyaret edebilirsiniz."
Kabin bagajı,Bagajımda elektronik cihazlar taşıyabilir miyim?,"Evet, elektronik cihazları kabin bagajınızda taşıyabilirsiniz. Ancak güvenlik kontrollerinde bu cihazları çıkarmanız gerekebilir."
Kabin bagajı,Kabin bagajımın ağırlık ve boyut limitleri nelerdir?,Kabin bagajı için ağırlık ve boyut limitleri havayolu şirketine ve uçuşun türüne göre değişebilir. Genellikle ağırlık sınırı 8-10 kg arasında ve boyut sınırları da ölçüleri içerecek şekildedir.
Kabin bagajı,Kozmetik ürünlerimi kabin bagajımda taşıyabilir miyim?,"Evet, sıvı, jel veya sprey şeklindeki kozmetik ürünlerini kabin bagajınızda taşıyabilirsiniz. Ancak bu ürünlerin belirli bir mililitre sınırlamasına uyması gerekebilir."
Kabin bagajı,Kabin bagajımda yiyecek veya içecek taşıyabilir miyim?,"Genellikle kabin içindeki yiyecek ve içecekler havayolu tarafından sunulur. Kendi yiyecek ve içeceklerinizi taşımanız gerekiyorsa, sınırlamalar ve güvenlik kurallarını göz önünde bulundurmanız önemlidir."
Ödeme,Kart bilgilerimi doğru girmeme rağmen işlem reddediliyor. Ödemeyi nasıl gerçekleştirebilirim?,Ödemeniz bankanız tarafından reddedilmiş veya güvenlik kuralları nedeniyle işleminiz başarısız olabilir. Ayrıntılı bilgi için geri bildirim formunu doldurarak müşteri ilişkileri ile iletişime geçebilirsiniz.
Ödeme,Bilet iptali sebebiyle geri ödemenin yapılacağı kredi kartımın kullanım süresi geçtiyse ödemeyi nasıl geri alabilirim?,"Bilet iadesi yapılacak kredi kartınızın kullanım süresi geçtiyse, ödemeyi kredi kartınızın bulunduğu bankadaki hesabınızdan geri alabilirsiniz. Satın alma işlemi yaptığınız kredi kartınızın bulunduğu bankayla artık çalışmıyorsanız bu durumu belgeleyen bankadan aldığınız resmi bir evrakla satış ofislerimize başvurabilir ve ödemenizi ofislerimizden kolayca geri alabilirsiniz. Detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilirsiniz."
Ödeme,E-biletimin faturasını nasıl alabilirim?,"Fatura niteliğindeki mali e-biletinize, biletinizin düzenlenmesinden itibaren en geç 72 saat içinde http://ebiletfatura.turkishairlines.com adresinden ulaşabilirsiniz. Biletinizi bir acenteden satın aldıysanız lütfen faturanızı almak için acenteye başvurunuz."
Ödeme,3D Secure doğrulaması ile nasıl ödeme yapabilirim?,"Kredi kartı ve banka kartı ile yapılan ödemeler için, gerekli görüldüğü ve kart bankasının desteklediği durumlarda 3D Secure doğrulaması talep edilebilir. 3D Secure doğrulaması istenilen işlemlerde, kart bilgileri girildikten sonra açılacak olan bankaya ait pencerede 3D Secure şifresinin girilmesi gerekmektedir."
Ödeme,Bilet tutarının iade edileceği kredi kartımı aldığım bankayla artık çalışmıyorum. Ödemeyi nasıl geri alabilirim?,Satın alma işlemi yaptığınız kredi kartınızın bulunduğu bankayla artık çalışmıyorsanız bankadan aldığınız bu durumu belgeleyen resmi bir evrakla satış ofisimize başvurabilir ve ödemenizi ofislerimizden kolayca geri alabilirsiniz. Detaylı bilgi için ücret koşulları sayfamızı ziyaret edebilirsiniz.
Ödeme,Faturadaki mükellef bilgilerimi ne zamana kadar güncelleyebilirim?,"Biletinizi satın aldığınız ayı izleyen ayın 10’uncu gününe kadar, mali e-biletinizde yer alan mükellef bilgilerini güncelleyebilirsiniz. Bu tarihten sonra mali e-bilet bilgilerinde değişiklik yapamaz, sadece mali e- biletinizi görüntüleyebilirsiniz.Mükellef bilgilerinizi güncelledikten sonra elektronik sertifika ile imzalanacak olan mali e-biletiniz, düzenlenmesinden en geç 72 saat sonra belirttiğiniz e-posta adresine gönderilecektir."
